"Block","Order","Block.1","Position","ML","Leaf.Number","Comment","Trt","Comp","Combos","Population","Species"
"1",53,1,"53","PA4.16Ip",6,"","Alone","NA","NA","PA4","Ip"
"1",54,1,"54","PA4.15Ip",10,"","Inter","PA 4.3 Ihed","PA 4.15 Ip-PA 4.3 Ihed","PA4","Ip"
"1",54,1,"54","PA4.3Ihed",11,"","Inter","PA 4.15 Ip","PA 4.15 Ip-PA 4.3 Ihed","PA4","Ihed"
"1",55,1,"55A","PA4.17Ip",10,"","Inter","PA 4.2 Ihed","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ip"
"1",55,1,"55A","PA4.2Ihed",5,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",57,1,"57A","PA4.2Ip",13,"","Inter","PA 4.2 Ihed","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ip"
"1",57,1,"57A","PA4.2Ihed",12,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.2 Ihed","PA4","Ihed"
"1",58,1,"58","PA4.11Ip",17,"","Inter","PA 4.7 Ihed","PA 4.11 Ip-PA 4.7 Ihed","PA4","Ip"
"1",58,1,"58","PA4.7Ihed",20,"","Inter","PA 4.11 Ip","PA 4.11 Ip-PA 4.7 Ihed","PA4","Ihed"
"1",59,1,"59","PA4.2Ip",25,"","Inter","PA 4.9 Ihed","PA 4.2 Ip-PA 4.9 Ihed","PA4","Ip"
"1",59,1,"59","PA4.9Ihed",11,"","Inter","PA 4.2 Ip","PA 4.2 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",59,1,"59A","PA4.17Ip",13,"","Inter","PA 4.15 Ihed","PA 4.17 Ip-PA 4.15 Ihed","PA4","Ip"
"1",59,1,"59A","PA4.15Ihed",11,"","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",61,1,"61","PA4.18Ip",7,"","Inter","PA 4.9 Ihed","PA 4.18 Ip-PA 4.9 Ihed","PA4","Ip"
"1",61,1,"61","PA4.9Ihed",6,"","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.9 Ihed","PA4","Ihed"
"1",61,1,"61A","PA4.1Ip",14,"","Inter","PA 4.15 Ihed","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ip"
"1",61,1,"61A","PA4.15Ihed",20,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ihed"
"1",62,1,"62","PA4.1Ip",10,"","Alone","NA","NA","PA4","Ip"
"1",64,1,"64","PA4.14Ip",6,"","Alone","NA","NA","PA4","Ip"
"1",65,1,"65A","PA4.1Ip",9,"","Inter","PA 4.2 Ihed","PA 4.1 Ip-PA 4.2 Ihed","PA4","Ip"
"1",65,1,"65A","PA4.2Ihed",15,"","Inter","PA 4.1 Ip","PA 4.1 Ip-PA 4.2 Ihed","PA4","Ihed"
